"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_excel_login[编号-标题-请求接口类别-请求地址-请求方式-是否需要登录-输入数据-数据格式-期望结果1]","tests","Wed Sep 03 09:52:30 HKT 2025","passed","Wed Sep 03 09:52:30 HKT 2025","","test_login_case","",""
"","97","test_excel_cart_add","tests","Wed Sep 03 09:52:30 HKT 2025","failed","Wed Sep 03 09:52:30 HKT 2025","","test_cart_case","",""
